t_sec,speed_kmh,lat,lon,alt,vert_acc,horiz_acc,course,difcourse,hdop,vdop,pdop,active,acc_x,acc_y,acc_z,acc_x_kf,acc_y_kf,acc_z_kf,roll,pitch,yaw,x_lane,phi,road_width,lane_state,dist_front,ttc_front,num_vehicles,gps_speed,max_speed,speed_rel,road_type_osm,num_lanes,lane_id,lat_osm,lon_osm,osm_delay,gps_speed_osm,driver,behavior,road_type
14,85.5,40.505798,-3.355894,606.3,6,5,274.6,2.109,0,0,0,1.0,-0.0044,-0.0149,-0.1075,-0.006499999999999999,-0.0099,-0.10769999999999999,-1.6401,-0.0002000000000000001,-0.9102,0.051037037037037034,0.004481481481481481,3.4294074074074072,-0.2962962962962963,-1.0,-1.0,0.0,83.05,-1.0,2,-,-1,1,40.506252,-3.355367,1.351,82.7,D1,Normal,motor
16,85.5,40.505817,-3.356466,606.4,6,5,274.9,0.352,2,0,0,1.0,0.014700000000000001,-0.014400000000000001,-0.019700000000000002,0.0099,-0.0117,-0.0198,-1.5649000000000002,0.0221,-0.8934000000000001,-0.48732,-0.02756,3.1809600000000002,2.0,-1.0,-1.0,0.0,85.65555555555555,120.0,1,motorway,3,1,40.505798,-3.355895,1.52,85.7,D1,Normal,motor
18,85.2,40.505844,-3.357017,605.4,6,5,274.9,0.352,2,0,0,1.0,-0.0162,-0.0095,0.0109,-0.0187,-0.0064,0.0092,-1.5463,-0.0026000000000000003,-0.8899000000000001,0.24425925925925926,0.09166666666666667,3.3346666666666667,0.8148148148148148,-1.0,-1.0,0.2222222222222222,85.55555555555556,90.0,1,motorway_link,2,-1,40.505817,-3.356466,1.23,85.6,D1,Normal,motor
20,87.2,40.505878,-3.357584,604.5,4,5,275.6,0.703,2,0,0,1.0,-0.004200000000000001,0.0021,-0.027599999999999996,-0.008400000000000001,-0.0008,-0.024,-1.5566,0.0075,-0.885,0.8084583333333333,-0.04758333333333333,3.2106250000000003,2.0,3.245,-0.4625,1.0,86.15,90.0,1,motorway_link,2,-1,40.505844,-3.357018,1.778,86.0,D1,Normal,motor
22,86.8,40.50592,-3.358151,603.7,4,5,276.3,0.703,1,4,0,1.0,-0.0079,-0.011,-0.0046,-0.0076,-0.011899999999999999,-0.008299999999999998,-1.5328,-0.0036,-0.8824,0.4431481481481481,-0.003074074074074074,3.327555555555555,1.962962962962963,13.89875,0.575,1.0,86.975,120.0,1,motorway,4,-1,40.505878,-3.357584,1.326,87.0,D1,Normal,motor
24,86.4,40.505959,-3.358722,603.9,4,5,275.6,0.703,0,4,0,1.0,-0.020200000000000003,-0.0102,-0.0206,-0.020200000000000003,-0.0060999999999999995,-0.0201,-1.5297,0.0103,-0.8565999999999999,0.25807407407407407,-0.009666666666666667,3.6124814814814816,1.8888888888888888,16.983333333333334,0.7066666666666666,1.2222222222222223,86.55555555555556,120.0,1,motorway,4,-1,40.50592,-3.358151,1.688,86.6,D1,Normal,motor
27,85.0,40.505993,-3.359544,603.2,4,5,272.8,2.109,1,5,1,1.0,-0.0078,-0.0262,-0.0109,-0.0109,-0.0246,-0.0101,-1.5387,0.053000000000000005,-0.7803,0.5134137931034484,0.017551724137931036,3.2307586206896555,2.0,18.005555555555556,0.77,2.0,84.22222222222223,120.0,1,motorway,3,-1,40.505959,-3.358723,2.142,84.0,D1,Normal,motor
29,83.9,40.505997,-3.360087,603.7,4,5,269.3,3.516,0,5,1,1.0,-0.021400000000000002,0.0434,0.0158,-0.0185,0.0426,0.0166,-1.5377,0.0484,-0.7247999999999999,0.37837499999999996,-0.017374999999999998,3.2838333333333334,1.9166666666666667,19.037777777777777,0.8155555555555556,3.0,84.07777777777777,120.0,1,motorway,3,-1,40.505993,-3.359544,1.914,84.1,D1,Normal,motor
33,88.9,40.505928,-3.3612,603.7,4,5,262.3,4.219,0,4,0,1.0,-0.0121,0.0619,0.013300000000000001,-0.007999999999999998,0.055600000000000004,0.0153,-1.6359,0.0499,-0.5814,-0.6963076923076923,-0.013884615384615384,3.3151153846153845,0.9615384615384616,11.025714285714287,0.04999999999999998,1.8571428571428572,86.58571428571429,120.0,1,motorway,3,0,40.505997,-3.360088,3.996,86.2,D1,Normal,motor
35,93.8,40.505852,-3.3618,605.1,4,5,260.5,1.758,0,4,0,1.0,-0.0091,-0.003,-0.0113,-0.0092,-0.003,-0.0127,-1.6235,0.0098,-0.5524000000000001,0.3223846153846154,0.045884615384615385,3.300538461538461,1.6538461538461537,10.462222222222222,0.09000000000000001,2.0,91.84444444444443,120.0,1,motorway,3,0,40.505928,-3.3612,1.218,91.6,D1,Normal,motor
