t_sec,speed_kmh,lat,lon,alt,vert_acc,horiz_acc,course,difcourse,hdop,vdop,pdop,active,acc_x,acc_y,acc_z,acc_x_kf,acc_y_kf,acc_z_kf,roll,pitch,yaw,x_lane,phi,road_width,lane_state,dist_front,ttc_front,num_vehicles,gps_speed,max_speed,speed_rel,road_type_osm,num_lanes,lane_id,lat_osm,lon_osm,osm_delay,gps_speed_osm,driver,behavior,road_type
14,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703,0,0,0,1,-0.0151,0.0169,-0.0436,-0.0042,0.0197,-0.0325,-1.6889,-0.0189,-1.5341,0,0,3.5,-1,-1,-1,0,73.2875,-1,-1,-,-1,-1,0,0,-1,75.2,D3,Normal,motor
15,78.3,40.505703,-3.355109,604,3,5,272.1,1.406,0,0,0,1,0.014,0.0167,-0.0704,0.009,0.0148,-0.0709,-1.639,-0.027,-1.5515,0,0,3.5,-1,-1,-1,0.5,77.1375,-1,-1,-,-1,-1,0,0,-1,78.3,D3,Normal,motor
16,78.7,40.505714,-3.355369,603.2,3,5,273.5,2.109,0,0,0,1,-0.0256,-0.0046,-0.0537,-0.0233,-0.0017,-0.0564,-1.59,-0.0201,-1.5678,0.127185185,0.038074074,3.579555556,0.37037037,4.4675,-0.63,1,78.55,-1,-1,-,-1,-1,0,0,-1,78.7,D3,Normal,motor
17,77.8,40.50573,-3.355628,601.8,4,5,274.6,2.461,0,0,0,1,-0.0105,0.0026,-0.0228,-0.0097,0.0002,-0.0235,-1.5735,-0.0167,-1.5774,0.408037037,0.046925926,3.369407407,2,9.426666667,-0.308888889,0.777777778,78.2,-1,-1,-,-1,-1,0,0,-1,77.8,D3,Normal,motor
18,77.9,40.505745,-3.355879,601.2,3,5,275.3,1.758,0,0,0,1,0.0037,-0.031,-0.0229,0.001,-0.0223,-0.0252,-1.5535,-0.0057,-1.5783,0.34426087,-0.025478261,3.094173913,2,-1,-1,0,77.87142857,-1,-1,-,-1,-1,0,0,-1,77.9,D3,Normal,motor
19,77.1,40.505768,-3.356141,601.1,3,5,274.2,1.055,0,0,0,1,-0.0096,-0.0282,0.0266,-0.0068,-0.0348,0.0264,-1.5642,0.0314,-1.5523,-0.107230769,-0.112884615,2.872423077,2,-1,-1,0.333333333,77.45555556,-1,-1,-,-1,-1,0,0,-1,77.1,D3,Normal,motor
20,78.3,40.505779,-3.3564,600.6,3,5,273.9,1.406,2,0,0,1,-0.004,0.0297,-0.0148,-0.0023,0.0261,-0.0131,-1.5736,0.0267,-1.5353,-0.793521739,-0.113217391,2.987,1.565217391,1.49,-0.748571429,2,77.78571429,-1,-1,-,-1,-1,0,0,-1,78.3,D3,Normal,motor
21,78,40.505795,-3.356657,600.7,3,5,274.2,0.352,0,0,0,1,-0.0025,0.0183,-0.0099,-0.0069,0.0212,-0.0116,-1.5637,-0.0063,-1.5415,0,0,3.478,0,17.67375,0.8125,2,78.1125,-1,-1,-,-1,-1,0,0,-1,78,D3,Normal,motor
22,78,40.505817,-3.35692,600,3,5,275.3,1.406,0,0,0,1,-0.0071,-0.0061,-0.0153,-0.0062,-0.0046,-0.0134,-1.5587,-0.0098,-1.5459,0,0,3.478,0,20.08571429,0.925714286,2,78,-1,-1,-,-1,-1,0,0,-1,78,D3,Normal,motor
23,77.7,40.505829,-3.35718,599.9,3,5,275.3,1.055,1,0,0,1,0.0005,0.0004,0.0284,0.0031,0.0013,0.0227,-1.5606,-0.0041,-1.5436,0.513571429,0.088,3.254714286,1.904761905,21.88,1.011428571,2,77.87142857,-1,-1,-,-1,-1,0,0,-1,77.7,D3,Normal,motor
24,78.6,40.505844,-3.357434,599.6,3,5,275.6,0.352,1,2,0,1,-0.016,0.0057,0.0419,-0.0166,0.0011,0.0415,-1.579,-0.0017,-1.5436,0.43236,-0.09876,3.105,1.92,24.61428571,1.132857143,2,78.21428571,-1,-1,-,-1,-1,0,0,-1,78.6,D3,Normal,motor
25,80.7,40.505867,-3.357707,599.7,3,5,276,0.703,0,1,0,1,-0.0031,-0.0046,0.0312,-0.0078,0.0017,0.0329,-1.6125,-0.004,-1.5421,0.301961538,-0.205538462,3.041346154,1.884615385,25.61222222,1.155555556,2,79.76666667,-1,-1,-,-1,-1,0,0,-1,80.7,D3,Normal,motor
26,83.4,40.50589,-3.357978,599.8,3,5,276.7,1.055,0,0,0,1,-0.0194,-0.006,0.0065,-0.012,-0.008,0.011,-1.6223,-0.0153,-1.5402,0.091,-0.224875,3.144875,1.916666667,27.8475,1.2175,2.25,82.3875,-1,-1,-,-1,-1,0,0,-1,83.4,D3,Normal,motor
27,86.5,40.505917,-3.358264,599.4,4,5,276.7,0.703,0,1,0,1,-0.0045,-0.0158,-0.0189,-0.0087,-0.016,-0.0163,-1.6145,-0.0122,-1.5374,0.088272727,-0.123681818,3.271818182,1.5,31.38375,1.325,1.625,85.3375,-1,-1,-,-1,-1,0,0,-1,86.5,D3,Normal,motor
28,87.8,40.505943,-3.358541,599.3,4,5,276,0.703,0,1,0,1,-0.0229,-0.0147,-0.0381,-0.0198,-0.0144,-0.0411,-1.5793,-0.0034,-1.5273,-0.29172,-0.02396,3.58952,1.72,36.11,1.49125,1,87.15,-1,-1,-,-1,-1,0,0,-1,87.8,D3,Normal,motor
