t_sec,speed_kmh,lat,lon,alt,vert_acc,horiz_acc,course,difcourse,hdop,vdop,pdop,active,acc_x,acc_y,acc_z,acc_x_kf,acc_y_kf,acc_z_kf,roll,pitch,yaw,x_lane,phi,road_width,lane_state,dist_front,ttc_front,num_vehicles,gps_speed,max_speed,speed_rel,road_type_osm,num_lanes,lane_id,lat_osm,lon_osm,osm_delay,gps_speed_osm,driver,behavior,road_type
26,72.6,40.505806,-3.356624,605.3,3,5,276.0,0.703,0,0,0,1.0,-0.0097,-0.026500000000000003,0.0218,-0.0063,-0.028399999999999998,0.0185,-1.6727,0.0319,-1.4775,0.0,0.0,3.5,-1.0,-1.0,-1.0,0.0,72.6,90.0,1,motorway_link,2,1,40.505768,-3.356164,2.008,72.6,D2,Drowsy,motor
28,82.0,40.50584,-3.357125,605.3,3,5,275.3,0.703,0,0,0,1.0,-0.0216,0.0534,-0.0167,-0.0158,0.0499,-0.0121,-1.6924,0.0228,-1.4425000000000001,0.18552,0.047080000000000004,3.3462,0.68,-1.0,-1.0,0.0,82.0,90.0,1,motorway_link,2,1,40.505825,-3.356863,0.957,82.0,D2,Drowsy,motor
30,87.6,40.505871,-3.357689,605.5,3,5,275.3,1.406,0,0,0,1.0,0.0044,0.0016,-0.0655,0.005700000000000001,0.0063,-0.06770000000000001,-1.5848,-0.0279,-1.4758,0.236125,-0.10558333333333332,2.9461666666666666,1.9166666666666667,-1.0,-1.0,0.0,87.4875,120.0,1,motorway,4,1,40.50584,-3.357125,1.763,87.6,D2,Drowsy,motor
31,85.9,40.50589,-3.357972,605.2,3,5,276.3,2.461,0,0,0,1.0,-0.0204,-0.0224,-0.0099,-0.0217,-0.0209,-0.0147,-1.5739,-0.0053,-1.4742000000000002,0.23964285714285713,-0.09817857142857143,2.9710714285714284,1.9642857142857142,-1.0,-1.0,0.0,85.80000000000001,120.0,1,motorway,4,1,40.505871,-3.357689,1.098,85.9,D2,Drowsy,motor
33,87.3,40.505936,-3.35853,605.5,3,5,276.0,0.352,0,0,0,1.0,-0.010875,-0.007625,-0.02275,-0.012,-0.008749999999999999,-0.019,-1.5818750000000001,0.00825,-1.452375,-0.241,0.004714285714285714,3.2660952380952377,1.7619047619047619,-1.0,-1.0,0.0,87.36666666666667,120.0,1,motorway,4,1,40.505913,-3.358252,0.866,87.3,D2,Drowsy,motor
34,87.7,40.505962,-3.358829,604.9,3,5,275.6,0.352,0,0,0,1.0,-0.0115,-0.0211,0.0034999999999999988,-0.0154,-0.0174,0.0011999999999999997,-1.572,0.017599999999999998,-1.4346,0.016285714285714285,0.11066666666666666,2.980095238095238,1.9047619047619047,-1.0,-1.0,1.0,87.7,120.0,1,motorway,3,1,40.505936,-3.35853,0.796,87.7,D2,Drowsy,motor
35,87.6,40.505978,-3.359116,604.2,3,5,274.2,1.758,0,0,0,1.0,-0.0164,-0.027700000000000002,0.0139,-0.013900000000000001,-0.029599999999999998,0.0134,-1.5851000000000002,0.0443,-1.4013,0.10427999999999998,0.04936,2.8413600000000003,1.88,-1.0,-1.0,1.0,87.61428571428571,120.0,1,motorway,3,1,40.505962,-3.358829,1.097,87.6,D2,Drowsy,motor
37,89.9,40.505989,-3.3597,604.1,3,5,270.7,3.516,0,0,0,1.0,-0.0186,0.0045,-0.0157,-0.0176,0.004599999999999999,-0.0134,-1.5948,0.0351,-1.3475,0.03923076923076923,0.02192307692307692,2.8542307692307696,1.9230769230769231,-1.0,-1.0,1.0,89.9,120.0,1,motorway,3,1,40.505985,-3.3594,0.93,89.9,D2,Drowsy,motor
39,90.8,40.505981,-3.360289,605.6,3,5,268.2,2.461,0,0,0,1.0,-0.028300000000000002,-0.0155,0.028999999999999998,-0.0299,-0.012199999999999999,0.028700000000000003,-1.6049,0.0288,-1.3115999999999999,0.04938461538461539,0.046538461538461535,2.8242692307692305,1.9230769230769231,-1.0,-1.0,1.1666666666666667,90.8,120.0,1,motorway,3,1,40.505989,-3.3597,1.473,90.8,D2,Drowsy,motor
40,92.1,40.505974,-3.360584,604.3,3,5,267.2,2.461,0,0,0,1.0,-0.012199999999999999,-0.0159,0.0072,-0.0147,-0.014599999999999998,0.0077,-1.6218,0.038900000000000004,-1.2832,0.06295238095238095,0.08961904761904761,2.8533333333333335,1.7142857142857142,-1.0,-1.0,1.7142857142857142,92.1,120.0,1,motorway,3,1,40.505981,-3.360289,1.226,93.6,D2,Drowsy,motor
