t_sec,speed_kmh,lat,lon,alt,vert_acc,horiz_acc,course,difcourse,hdop,vdop,pdop,active,acc_x,acc_y,acc_z,acc_x_kf,acc_y_kf,acc_z_kf,roll,pitch,yaw,x_lane,phi,road_width,lane_state,dist_front,ttc_front,num_vehicles,gps_speed,max_speed,speed_rel,road_type_osm,num_lanes,lane_id,lat_osm,lon_osm,osm_delay,gps_speed_osm,driver,behavior,road_type
25,106.4,40.505718,-3.362981,608.9,3,5,256.3,2.812,0,0,0,1.0,0.0029,-0.0007000000000000003,-0.014299999999999998,9.99999999999994e-05,0.0016,-0.012199999999999999,-1.58,0.013600000000000001,0.3859,-0.0713103448275862,0.04403448275862069,3.2198275862068964,1.9310344827586208,-1.0,-1.0,1.0,106.25,70.0,1,motorway_link,2,1,40.505844,-3.362299,1.215,106.4,D4,Aggressive,motor
26,107.2,40.50565,-3.363317,609.5,3,5,254.5,3.164,0,0,0,1.0,-0.0103,-0.0048000000000000004,-0.0125,-0.006699999999999999,-0.0045,-0.014299999999999998,-1.5732,0.0247,0.39980000000000004,-0.01568,0.01584,3.1932799999999997,1.84,-1.0,-1.0,1.0,107.0,70.0,1,motorway_link,2,1,40.505718,-3.362982,0.704,107.2,D4,Aggressive,motor
27,107.0,40.505566,-3.363649,610.0,3,5,252.8,3.516,0,0,0,1.0,0.0007777777777777785,-0.010333333333333335,-0.011333333333333334,-0.004333333333333334,-0.011111111111111112,-0.010444444444444444,-1.576,0.03177777777777778,0.4155555555555555,-0.013458333333333334,0.025374999999999998,3.2589166666666665,1.75,-1.0,-1.0,1.0,107.05,70.0,1,motorway_link,2,1,40.50565,-3.363318,1.059,107.0,D4,Aggressive,motor
29,107.5,40.505375,-3.364311,610.6,3,5,248.9,3.867,0,0,0,1.0,0.0006999999999999999,0.0029000000000000002,-0.0139,-0.0012999999999999997,0.0016,-0.0153,-1.5621,0.0172,0.4323,-0.1628,0.017150000000000002,3.2292499999999995,1.85,-1.0,-1.0,1.0,107.475,70.0,2,motorway_link,2,1,40.505478,-3.36398,0.878,107.5,D4,Aggressive,motor
30,107.3,40.505276,-3.364635,610.9,3,5,247.1,3.516,0,0,0,1.0,0.0038000000000000004,-0.006499999999999999,0.0017999999999999995,0.0012,-0.0066,0.0036,-1.5635999999999999,0.0165,0.4386,-0.22232,0.02628,3.24168,1.84,-1.0,-1.0,1.0,107.35,70.0,1,motorway_link,2,1,40.505375,-3.364311,0.625,107.3,D4,Aggressive,motor
31,107.4,40.505165,-3.364953,610.8,3,5,245.7,3.164,0,0,0,1.0,-0.011600000000000001,0.0062,-0.0329,-0.0127,0.0075,-0.031,-1.5586,0.0153,0.4417,-0.26176190476190475,0.05738095238095239,3.2119999999999997,1.8571428571428572,-1.0,-1.0,1.0,107.36666666666667,120.0,1,motorway,3,1,40.505276,-3.364635,0.88,107.4,D4,Aggressive,motor
33,106.1,40.504921,-3.365576,610.7,3,5,242.2,3.516,0,0,0,1.0,0.005299999999999999,-0.00010000000000000009,-0.0199,0.0013999999999999998,0.002,-0.0215,-1.5124,0.013300000000000001,0.44749999999999995,-0.1831111111111111,0.064,3.267,1.8888888888888888,115.645,3.9125,1.0,106.375,120.0,1,motorway,3,1,40.505165,-3.364954,1.514,106.1,D4,Aggressive,motor
35,103.5,40.504658,-3.366166,612.1,3,5,239.1,3.164,0,0,0,1.0,-0.0006999999999999999,0.0313,0.039,-0.0015,0.033100000000000004,0.0432,-1.5452,0.0257,0.4337,-0.04,0.03604,3.196,1.88,99.0775,3.44,1.0,103.7,120.0,1,motorway,3,1,40.504921,-3.365576,1.494,103.5,D4,Aggressive,motor
36,104.7,40.504517,-3.366455,611.2,3,5,238.4,2.461,0,0,0,1.0,-0.014500000000000002,0.013800000000000002,-0.0209,-0.010100000000000001,0.013300000000000001,-0.0144,-1.5603,0.036,0.41950000000000004,0.03791666666666667,0.04170833333333334,3.2152499999999997,1.9166666666666667,86.39,2.982,1.0,104.22,120.0,1,motorway,3,1,40.504658,-3.366166,0.769,104.7,D4,Aggressive,motor
38,105.2,40.504238,-3.367029,609.9,3,5,237.3,1.055,0,0,0,1.0,-0.00019999999999999993,0.0256,0.0204,-0.0032,0.0249,0.020499999999999997,-1.5627,0.0228,0.3789,0.18155555555555555,0.03988888888888889,3.2607037037037037,1.9259259259259258,79.18,2.7100000000000004,2.0,105.16666666666667,120.0,1,motorway,3,1,40.504517,-3.366455,1.117,105.1,D4,Aggressive,motor
